Timestamp;Frame;Sts;Lat;Lon;Altitude;Pressure;Temperature;Acceleration X;Acceleration Y;Acceleration Z; Annex 0;Annex 1;
[17:56:39.622] ;d1 04 2e 00 05 6a c2 19 05 e5 f8 ff b4 01 87 0e 2a 00 d3 fe 2e 00 e9 ff 00 00 42;66;432171525;-465659;436;3015889;3719;42;-301;46;-23;0
[17:56:40.640] ;1c c8 2d 00 3e 6c c4 19 98 65 f8 ff b2 01 85 0e 23 00 23 ff 22 00 e9 ff 00 00 4a;74;432303166;-498280;434;3000348;3717;35;-221;34;-23;0
[17:56:41.146] ;41 b0 2d 00 e9 71 c4 19 94 66 f8 ff ae 01 7a 0e 0b 00 47 ff 14 00 ea ff 00 00 4a;74;432304617;-498028;430;2994241;3706;11;-185;20;-22;0
[17:56:41.658] ;a2 9b 2d 00 c1 82 c4 19 91 6a f8 ff a2 01 7e 0e 1a 00 5d ff 1a 00 e9 ff 00 00 4a;74;432308929;-497007;418;2988962;3710;26;-163;26;-23;0
[17:56:42.754] ;fb 7d 2d 00 30 94 c4 19 95 6e f8 ff 95 01 7b 0e 2f 00 7c ff 29 00 ea ff 00 00 4d;77;432313392;-495979;405;2981371;3707;47;-132;41;-22;0
[17:56:43.176] ;09 74 2d 00 e7 f2 c4 19 31 3e fa ff ee 03 7f 0e 23 00 8d ff 30 00 e9 ff 00 00 4d;77;432337639;-377295;1006;2978825;3711;35;-115;48;-23;0
[17:56:43.687] ;a7 76 2d 00 b5 e5 c4 19 00 93 fc ff e8 0d 87 0e 06 01 bf fe 0c 00 ea ff 00 00 4d;77;432334261;-224512;3560;2979495;3719;262;-321;12;-22;0
[17:56:44.195] ;ad 73 2d 00 f9 ec c4 19 b7 9d fc ff 09 0e 8a 0e b7 00 e5 fe 0d 00 ea ff 00 00 45;69;432336121;-221769;3593;2978733;3722;183;-283;13;-22;0
[17:56:44.702] ;1a 75 2d 00 9b f0 c4 19 13 a3 fc ff 19 0e 86 0e db 00 6d fe ce ff e9 ff 00 00 45;69;432337051;-220397;3609;2979098;3718;219;-403;-50;-23;0
[17:56:45.211] ;fa 79 2d 00 22 ff c4 19 81 b8 fc ff 5b 0e 8a 0e 12 01 9a fe da ff e9 ff 00 00 45;69;432340770;-214911;3675;2980346;3722;274;-358;-38;-23;0
[17:56:45.721] ;cb 82 2d 00 07 0a c5 19 94 c8 fc ff 8c 0e 89 0e 5f 00 b1 fe ea ff e9 ff 00 00 45;69;432343559;-210796;3724;2982603;3721;95;-335;-22;-23;0
[17:56:46.235] ;ac 8e 2d 00 4a 11 c5 19 4b d3 fc ff ac 0e 7f 0e fa 00 81 fe da ff e9 ff 00 00 45;69;432345418;-208053;3756;2985644;3711;250;-383;-38;-23;0
[17:56:46.745] ;d0 9e 2d 00 8e 18 c5 19 02 de fc ff cd 0e 84 0e 02 01 74 fe be ff e9 ff 00 00 45;69;432347278;-205310;3789;2989776;3716;258;-396;-66;-23;0
[17:56:47.256] ;2b b1 2d 00 07 80 c3 19 4c 9e f6 ff b2 01 82 0e 66 00 71 fe 6e ff e9 ff 00 00 4d;77;432242695;-614836;434;2994475;3714;102;-399;-146;-23;0
[17:56:47.790] ;2a c7 2d 00 07 80 c3 19 4c 9e f6 ff b2 01 79 0e 5f 01 31 fe e5 ff e9 ff 00 00 4d;77;432242695;-614836;434;3000106;3705;351;-463;-27;-23;0
[17:56:48.292] ;29 e0 2d 00 5e 81 c3 19 3e 79 f6 ff b3 01 7b 0e 70 01 e8 fd 9b ff ea ff 00 00 4d;77;432243038;-624322;435;3006505;3707;368;-536;-101;-22;0
[17:56:48.799] ;ba fa 2d 00 2d 81 c3 19 a4 72 f6 ff b3 01 78 0e 51 01 c0 fd 6f ff e9 ff 00 00 4d;77;432242989;-626012;435;3013306;3704;337;-576;-145;-23;0
